numeroTicket,cantBultosPar,pesoBultosPar,cantBultosTot,pesoBultosTot,naturalezaMercaderia,codArmonizado
1255429,1,3445,1,3445,DIPLOMATIC BAG,4823.40.00.000
1255430,1,3445,1,3445,DIPLOMATIC BAG,4823.40.00.000
